DISEASE	MED_CODE	BETA_COEF	BETA_SE	P_VAL	N_cases	N_controls	MED_FREQ_ALL	MED_FREQ_CASES	MED_FREQ_CONTROLS	coding	meaning	col_name	adjusted_P_VAL	Memo	Circular	ACB	Gene_Drug_CPIC	Metabolism_Inhibitor
Dementia	meds_1140872420	2.648599995	0.691723725	0.000128673	2732	10928	0.001066423	0.005	0.000274524	1140872420	sinemet-ls tablet	meds_1140872420	0.010153002	PD drug		0		
Dementia	meds_1140874420	0.612420596	0.176734167	0.000529822	2732	10928	0.011806825	0.028181818	0.008510249	1140874420	quinine	meds_1140874420	0.033319041	Malaria		0		
Dementia	meds_1140874896	1.592774897	0.393839733	5.25E-05	2732	10928	0.002666057	0.007727273	0.001647145	1140874896	hydrocortisone	meds_1140874896	0.00494485	Steroid		1		
Dementia	meds_1140879430	1.148071055	0.302233568	0.000145503	2732	10928	0.004113346	0.010909091	0.002745242	1140879430	domperidone	meds_1140879430	0.010865945	D2 blocker		0		
Dementia	meds_1140879540	1.215894593	0.194535133	4.10E-10	2732	10928	0.012340037	0.023636364	0.010065886	1140879540	fluoxetine	meds_1140879540	1.63E-07	SSRI		1		
Dementia	meds_1140879620	2.1852863	0.649734194	0.000770015	2732	10928	0.00099025	0.003636364	0.00045754	1140879620	clomipramine	meds_1140879620	0.043695691	TCA		3	"CYP2D6,CYP2C19"	
Dementia	meds_1140879644	2.789457174	0.656785187	2.17E-05	2732	10928	0.001371115	0.006363636	0.000366032	1140879644	amantadine	meds_1140879644	0.002321748	PD drug		2		
Dementia	meds_1140879668	2.813191524	0.662843706	2.19E-05	2732	10928	0.001218769	0.005909091	0.000274524	1140879668	selegiline	meds_1140879668	0.002323371	PD drug		0		
Dementia	meds_1140879778	0.784865373	0.159429915	8.52E-07	2732	10928	0.014929921	0.035909091	0.010706442	1140879778	doxazosin	meds_1140879778	0.000137121	Alpha blocker		0		
Dementia	meds_1140882112	2.976495076	0.572131694	1.97E-07	2732	10928	0.002209019	0.011363636	0.000366032	1140882112	co-careldopa	meds_1140882112	3.66E-05	PD drug		0		
Dementia	meds_1140883066	1.221905118	0.161746682	4.21E-14	2732	10928	0.015310786	0.040909091	0.010157394	1140883066	insulin product	meds_1140883066	3.91E-11	Diabetes		0		
Dementia	meds_1140884600	0.566028536	0.11038888	2.93E-07	2732	10928	0.034811091	0.073181818	0.027086384	1140884600	metformin	meds_1140884600	5.34E-05	Diabetes		0		
Dementia	meds_1140888366	1.812234402	0.328296897	3.39E-08	2732	10928	0.003884826	0.013181818	0.002013177	1140888366	thiamine preparation	meds_1140888366	7.46E-06	Vitamin b		0		
Dementia	meds_1140909708	0.790969041	0.173584963	5.20E-06	2732	10928	0.012263863	0.032272727	0.008235725	1140909708	furosemide	meds_1140909708	0.00065862	Diuretic		1		
Dementia	meds_1140909806	1.058645253	0.310519661	0.000651371	2732	10928	0.004037172	0.009545455	0.002928258	1140909806	dosulepin(amitriptyline equivalent)	meds_1140909806	0.038638752	TCA		3	"CYP2D6,CYP2C19"	
Dementia	meds_1140921600	0.870933587	0.14188565	8.34E-10	2732	10928	0.024223035	0.040909091	0.020863836	1140921600	citalopram	meds_1140921600	3.17E-07	SSRI		0		
Dementia	meds_1140923346	0.447687706	0.121693446	0.00023432	2732	10928	0.030773918	0.055	0.025896779	1140923346	co-codamol(paracetamol and codeine)	meds_1140923346	0.016608914	Pain		1	CYP2D6	
Dementia	meds_1140923670	1.353146248	0.345712704	9.08E-05	2732	10928	0.003199269	0.010909091	0.001647145	1140923670	gtn - glyceryl trinitrate	meds_1140923670	0.007745282	Angina		0		
Dementia	meds_1140925800	1.133483007	0.280780045	5.42E-05	2732	10928	0.004875076	0.012727273	0.00329429	1140925800	movicol oral powder	meds_1140925800	0.004981534	Constipation		0		
Dementia	meds_1140928274	2.714942656	0.433544835	3.80E-10	2732	10928	0.002894576	0.014090909	0.000640556	1140928274	ropinirole	meds_1140928274	1.59E-07	PD drug		0		
Dementia	meds_1141152732	1.981817025	0.345662958	9.84E-09	2732	10928	0.004037172	0.010909091	0.002653734	1141152732	mirtazapine	meds_1141152732	2.94E-06	TeCA		0		
Dementia	meds_1141152848	2.36452267	0.660455764	0.000343413	2732	10928	0.000914077	0.003181818	0.00045754	1141152848	quetiapine	meds_1141152848	0.022796083	AAP		3	MC4R	
Dementia	meds_1141164060	2.278343509	0.476857704	1.77E-06	2732	10928	0.002132846	0.009545455	0.000640556	1141164060	pramipexole	meds_1141164060	0.000255535	PD drug		0		
Dementia	meds_1141164872	2.612675649	0.519813783	5.00E-07	2732	10928	0.001904327	0.009090909	0.00045754	1141164872	sinemet-62.5 tablet	meds_1141164872	8.72E-05	PD drug		0		
Dementia	meds_1141169700	3.508672359	1.052566362	0.000857775	2732	10928	0.00099025	0.005454545	9.15E-05	1141169700	entacapone	meds_1141169700	0.047200223	PD drug		0		
Dementia	meds_1141200004	1.202039929	0.362644665	0.000917581	2732	10928	0.003275442	0.007727273	0.002379209	1141200004	pregabalin	meds_1141200004	0.049322608	Epilepsy/Pain		0		
Dementia	meds_2038459814	1.007473146	0.280706613	0.000331871	2732	10928	0.004494211	0.013636364	0.002653734	2038459814	digoxin	meds_2038459814	0.022206169	Angina		1		
Dementia	meds_2038460150	0.333467994	0.061699572	6.49E-08	2732	10928	0.197516758	0.236818182	0.189604685	2038460150	paracetamol(acetaminophen)	meds_2038460150	1.39E-05	Pain		0		
Alz	meds_1140862772	1.713056637	0.502230525	0.000647495	1005	4020	0.004742268	0.010843373	0.003482587	1140862772	loratadine	meds_1140862772	0.038638752	Anti-histamine		1		
Alz	meds_1140864992	0.969962158	0.293615781	0.000954832	1005	4020	0.014020619	0.03253012	0.010199005	1140864992	tramadol	meds_1140864992	0.049418051	Pain		1		
Alz	meds_1140868226	0.375165297	0.099240391	0.000156596	1005	4020	0.159587629	0.278313253	0.135074627	1140868226	aspirin	meds_1140868226	0.011590882	Anticoagulant/Pain		0		
Alz	meds_1140881856	1.075919203	0.275440989	9.38E-05	1005	4020	0.015463918	0.03373494	0.011691542	1140881856	salbutamol	meds_1140881856	0.007842984	Asthma		0		
Alz	meds_1140883066	1.32660858	0.278538217	1.91E-06	1005	4020	0.015051546	0.037349398	0.010447761	1140883066	insulin product	meds_1140883066	0.000270724	Diabetes		0		
Alz	meds_1140921600	1.353281317	0.238613825	1.42E-08	1005	4020	0.022886598	0.04939759	0.017412935	1140921600	citalopram	meds_1140921600	3.95E-06	SSRI		0		
Vascular	meds_1140860954	1.783625731	0.520969349	0.000617822	541	2164	0.00848111	0.037209302	0.002772643	1140860954	isosorbide mononitrate	meds_1140860954	0.037411213	Angina		1		
Vascular	meds_1140861128	2.186149014	0.657532175	0.000884887	541	2164	0.00539707	0.018604651	0.002772643	1140861128	tildiem 60mg m/r tablet(diltiazem)	meds_1140861128	0.048373834	Angina		1		
Vascular	meds_1140861778	3.623697822	0.996269964	0.000275548	541	2164	0.005011565	0.025581395	0.000924214	1140861778	dipyridamole	meds_1140861778	0.018890879	Anticoagulant		1		
Vascular	meds_1140861958	0.670449238	0.141312511	2.09E-06	541	2164	0.140709329	0.306976744	0.10767098	1140861958	simvastatin	meds_1140861958	0.000291458	Statin		0		
Vascular	meds_1140864752	0.831362424	0.229544777	0.000292574	541	2164	0.047802621	0.1	0.037430684	1140864752	lansoprazole	meds_1140864752	0.019769618	PPI		0		
Vascular	meds_1140868226	0.743338094	0.134314397	3.12E-08	541	2164	0.174248265	0.395348837	0.130314233	1140868226	aspirin	meds_1140868226	7.06E-06	Anticoagulant/Pain		0		
Vascular	meds_1140874420	1.691544295	0.403641629	2.78E-05	541	2164	0.014263685	0.055813953	0.006007394	1140874420	quinine	meds_1140874420	0.002836468	Malaria		1		
Vascular	meds_1140879540	1.913182721	0.422090539	5.83E-06	541	2164	0.01310717	0.039534884	0.007855823	1140879540	fluoxetine	meds_1140879540	0.000727196	SSRI		1		
Vascular	meds_1140879616	1.253673601	0.37964586	0.000959233	541	2164	0.016962221	0.039534884	0.012476895	1140879616	amitriptyline	meds_1140879616	0.049418051	TCA		3	"CYP2D6,CYP2C19"	
Vascular	meds_1140879760	1.216387819	0.310586879	8.99E-05	541	2164	0.021973786	0.06744186	0.012939002	1140879760	bisoprolol	meds_1140879760	0.007745282	Beta blocker		0		
Vascular	meds_1140883066	2.069162511	0.371778191	2.61E-08	541	2164	0.019275251	0.074418605	0.00831793	1140883066	insulin product	meds_1140883066	6.09E-06	Diabetes		0		
Vascular	meds_1140884600	1.400690491	0.244553186	1.02E-08	541	2164	0.041249036	0.13255814	0.02310536	1140884600	metformin	meds_1140884600	2.94E-06	Diabetes		0		
Vascular	meds_1140888560	1.283408757	0.328533457	9.37E-05	541	2164	0.020817271	0.055813953	0.013863216	1140888560	perindopril	meds_1140888560	0.007842984	Beta blocker		0		
Vascular	meds_1140909708	1.826945076	0.409252517	8.04E-06	541	2164	0.013492675	0.051162791	0.006007394	1140909708	furosemide	meds_1140909708	0.000971128	Diuretic		1		
Vascular	meds_1140916282	2.604903137	0.761232924	0.000621731	541	2164	0.004240555	0.011627907	0.002772643	1140916282	venlafaxine	meds_1140916282	0.037411213	SNRI		0		
Vascular	meds_1140921600	1.110439404	0.328469732	0.00072316	541	2164	0.026214341	0.044186047	0.022643253	1140921600	citalopram	meds_1140921600	0.041428169	SSRI		0		
Vascular	meds_1141146234	1.076807325	0.227905138	2.30E-06	541	2164	0.043562066	0.123255814	0.027726433	1141146234	atorvastatin	meds_1141146234	0.000315825	Statin		0		
Vascular	meds_1141168318	1.88278961	0.468971226	5.95E-05	541	2164	0.011950655	0.051162791	0.004158965	1141168318	clopidogrel	meds_1141168318	0.005362307	Anticoagulant		0		
Vascular	meds_1141192736	1.730472346	0.518620043	0.000847836	541	2164	0.007324595	0.023255814	0.004158965	1141192736	ezetimibe	meds_1141192736	0.047200223	Cholesterol		0		
ALS	meds_1140863144	2.852752308	0.842988195	0.000714132	423	1692	0.003904344	0.016806723	0.001182033	1140863144	zopiclone	meds_1140863144	0.041193125	Benzodiazepines		0		
ALS	meds_1140884464	2.629769931	0.644206726	4.46E-05	423	1692	0.005856515	0.022408964	0.002364066	1140884464	dihydrocodeine	meds_1140884464	0.004339028	Pain		1		
Parkinsonism	meds_1140864992	0.616150933	0.181093978	0.000668011	2268	9072	0.015443663	0.026723677	0.013117284	1140864992	tramadol	meds_1140864992	0.039020941	Pain		1		
Parkinsonism	meds_1140865716	1.24634583	0.334186906	0.00019187	2268	9072	0.003746687	0.010154997	0.002425044	1140865716	senna	meds_1140865716	0.013834471	Constipation		0		
Parkinsonism	meds_1140865800	1.293614966	0.283724603	5.13E-06	2268	9072	0.005208809	0.013896312	0.003417108	1140865800	lactulose product	meds_1140865800	0.00065862	Constipation		0		
Parkinsonism	meds_1140867504	2.643056718	0.68421263	0.000112041	2268	9072	0.001005209	0.003741315	0.000440917	1140867504	priadel 200mg m/r tablet	meds_1140867504	0.009187362	Lithium		0		
Parkinsonism	meds_1140867878	1.34793866	0.313376213	1.70E-05	2268	9072	0.004477748	0.011758418	0.00297619	1140867878	sertraline	meds_1140867878	0.001868318	SSRI		1	"CYP2D6,CYP2C19"	
Parkinsonism	meds_1140872072	1.86394531	0.408977241	5.17E-06	2268	9072	0.002650096	0.008017103	0.00154321	1140872072	tegretol 100mg tablet	meds_1140872072	0.00065862	Epilepsy/Pain		2		"CYP3A4,CYP2C8"
Parkinsonism	meds_1140872150	3.405153085	0.557163184	9.86E-10	2268	9072	0.003107009	0.016034206	0.000440917	1140872150	clonazepam	meds_1140872150	3.44E-07	Benzodiazepines		0		
Parkinsonism	meds_1140872198	1.613480596	0.437696925	0.000227541	2268	9072	0.002375948	0.006413683	0.00154321	1140872198	sodium valproate	meds_1140872198	0.016266288	Epilepsy		0		
Parkinsonism	meds_1140872200	1.882973969	0.490630472	0.000124108	2268	9072	0.001919035	0.006413683	0.000992063	1140872200	epilim 100mg crushable tablet(valproic)	meds_1140872200	0.009981164	Epilepsy		0		
Parkinsonism	meds_1140872228	1.398901448	0.251376666	2.62E-08	2268	9072	0.006853696	0.017637627	0.00462963	1140872228	gabapentin	meds_1140872228	6.09E-06	Epilepsy/Pain		0		
Parkinsonism	meds_1140872290	1.760243671	0.526306173	0.000824239	2268	9072	0.001553505	0.004275788	0.000992063	1140872290	lamotrigine	meds_1140872290	0.046268005	Epilepsy		0		
Parkinsonism	meds_1140872338	6.429136951	1.009423489	1.90E-10	2268	9072	0.010965914	0.063602352	0.000110229	1140872338	madopar 62.5 capsule(intermeiate in the metabolism of diazepam)	meds_1140872338	8.83E-08	PD drug	1	1		
Parkinsonism	meds_1140878324	3.23658869	0.921957928	0.000447164	2268	9072	0.000548296	0.002137894	0.000220459	1140878324	oilatum cream	meds_1140878324	0.028769829	Skin		0		
Parkinsonism	meds_1140879404	1.652883469	0.500707206	0.000963073	2268	9072	0.001827652	0.005879209	0.000992063	1140879404	docusate sodium	meds_1140879404	0.049418051	Constipation		0		
Parkinsonism	meds_1140879430	2.530600939	0.264027234	9.28E-22	2268	9072	0.007036462	0.028861571	0.002535273	1140879430	domperidone	meds_1140879430	1.55E-18	D2 blocker		0		
Parkinsonism	meds_1140879616	0.973108741	0.140026184	3.67E-12	2268	9072	0.025587133	0.049171566	0.020723104	1140879616	amitriptyline	meds_1140879616	2.19E-09	TCA		3	"CYP2D6,CYP2C19"	
Parkinsonism	meds_1140879620	2.986713822	0.62426384	1.72E-06	2268	9072	0.001462122	0.005879209	0.000551146	1140879620	clomipramine	meds_1140879620	0.00025168	TCA		3	"CYP2D6,CYP2C19"	
Parkinsonism	meds_1140879842	1.398264145	0.204262951	7.63E-12	2268	9072	0.010965914	0.025120257	0.008046737	1140879842	propranolol	meds_1140879842	4.25E-09	Beta blocker		0		
Parkinsonism	meds_1140883476	4.870639288	1.082988597	6.88E-06	2268	9072	0.001279357	0.006948156	0.000110229	1140883476	procyclidine	meds_1140883476	0.000846087	PD drug	1	3		"CYP2D6,CHRM1,CHRM2,CHRM3"
Parkinsonism	meds_1140883568	2.04565931	0.347737374	4.03E-09	2268	9072	0.003746687	0.013896312	0.001653439	1140883568	oxybutynin	meds_1140883568	1.34E-06	Overactive bladder		3		"CYP3A4,CYP3A5"
Parkinsonism	meds_1140884672	2.672152874	0.649694498	3.91E-05	2268	9072	0.001370739	0.005879209	0.000440917	1140884672	fludrocortisone	meds_1140884672	0.003844057	Steroid		0		
Parkinsonism	meds_1140921600	0.814879502	0.160035663	3.55E-07	2268	9072	0.021931829	0.034206307	0.019400353	1140921600	citalopram	meds_1140921600	6.31E-05	SSRI		0		
Parkinsonism	meds_1140923346	0.518937919	0.136397101	0.000142027	2268	9072	0.028145847	0.046499198	0.02436067	1140923346	co-codamol(paracetamol and codeine)	meds_1140923346	0.010701939	Pain		1	CYP2D6	
Parkinsonism	meds_1140925800	2.074204628	0.254144459	3.31E-16	2268	9072	0.007127844	0.02565473	0.003306878	1140925800	movicol oral powder	meds_1140925800	3.46E-13	Constipation		0		
Parkinsonism	meds_1140928274	5.287762421	0.458170655	8.19E-31	2268	9072	0.019098967	0.109032603	0.000551146	1140928274	ropinirole	meds_1140928274	2.28E-27	PD drug	1	0		
Parkinsonism	meds_1141152732	1.630577989	0.308355086	1.24E-07	2268	9072	0.004477748	0.013896312	0.002535273	1141152732	mirtazapine	meds_1141152732	2.41E-05	TeCA		0		
Parkinsonism	meds_1141152848	3.14101873	0.63336861	7.08E-07	2268	9072	0.001370739	0.005879209	0.000440917	1141152848	quetiapine	meds_1141152848	0.000117139	AAP		3	MC4R	
Parkinsonism	meds_1141157458	3.921750904	1.15144292	0.000659355	2268	9072	0.000639678	0.003206841	0.000110229	1141157458	hypromellose product	meds_1141157458	0.038836959	Dry eye		0		
Parkinsonism	meds_1141162764	1.777903722	0.388963138	4.86E-06	2268	9072	0.002832861	0.010154997	0.001322751	1141162764	tolterodine l-tartrate	meds_1141162764	0.000644799	Overactive bladder		3	CYP2D6	
Parkinsonism	meds_1141162824	1.375189117	0.414762264	0.00091444	2268	9072	0.002375948	0.00748263	0.001322751	1141162824	detrusitol 1mg tablet	meds_1141162824	0.049322608	Overactive bladder		3		CYP2D6
Parkinsonism	meds_1141164060	6.47528641	1.009333748	1.40E-10	2268	9072	0.010874532	0.063067878	0.000110229	1141164060	pramipexole	meds_1141164060	6.91E-08	PD drug	1	0		"CYP2D6,CYP3A"
Parkinsonism	meds_1141164068	5.697751216	1.017462174	2.14E-08	2268	9072	0.006214018	0.035809727	0.000110229	1141164068	mirapexin 0.088mg tablet	meds_1141164068	5.52E-06	PD drug	1	0		
Parkinsonism	meds_1141168936	1.836696275	0.341038365	7.22E-08	2268	9072	0.004020835	0.016034206	0.00154321	1141168936	sildenafil	meds_1141168936	1.51E-05	Erectile dysfunction		0		
Parkinsonism	meds_1141172838	2.704624931	0.782710986	0.000549359	2268	9072	0.000822444	0.003206841	0.000330688	1141172838	depakote 250mg e/c tablet	meds_1141172838	0.034035829	Epilepsy/Pain		0		
Parkinsonism	meds_1141177526	1.202041111	0.31472193	0.00013379	2268	9072	0.004386366	0.011223944	0.00297619	1141177526	esomeprazole	meds_1141177526	0.010266247	PPI		0		
Parkinsonism	meds_1141188146	1.945432033	0.587650485	0.000931209	2268	9072	0.001279357	0.004810262	0.000551146	1141188146	simvador 10mg tablet	meds_1141188146	0.049322608	Statin		0		
Parkinsonism	meds_1141200384	2.447685871	0.490511495	6.04E-07	2268	9072	0.001919035	0.00748263	0.000771605	1141200384	vesicare 5mg tablet(solifenacin)	meds_1141200384	0.000103027	Overactive bladder		3		"CYP2D6,CYP3A"
Parkinsonism	meds_2038460150	0.272632389	0.067035013	4.76E-05	2268	9072	0.194188065	0.212185997	0.19047619	2038460150	paracetamol(acetaminophen)	meds_2038460150	0.004578014	Pain		0		"CYP2D6,CYP3A"
PD	meds_1140860834	1.087674079	0.330129468	0.000985305	2087	8348	0.003970223	0.011580776	0.002395783	1140860834	glyceryl trinitrate(nitroglycerin)	meds_1140860834	0.049946006	CVD		0		
PD	meds_1140863152	1.850438709	0.438724709	2.47E-05	2087	8348	0.002779156	0.008685582	0.001557259	1140863152	diazepam	meds_1140863152	0.00254775	Benzodiazepines		0		
PD	meds_1140864566	2.914004089	0.804678051	0.000293093	2087	8348	0.000992556	0.004053272	0.000359368	1140864566	cabergoline(dopamine agonist)	meds_1140864566	0.019769618	PD drug	1	0		
PD	meds_1140864992	0.719488675	0.197051039	0.000260936	2087	8348	0.013995037	0.025477707	0.01161955	1140864992	tramadol	meds_1140864992	0.018187222	Pain		1		
PD	meds_1140865634	0.395886136	0.094993811	3.08E-05	2087	8348	0.069975186	0.109438332	0.061811212	1140865634	omeprazole	meds_1140865634	0.003103413	PPI		0		
PD	meds_1140865716	1.416726519	0.378443753	0.000181432	2087	8348	0.00337469	0.00984366	0.002036416	1140865716	senna	meds_1140865716	0.013195626	Constipation		0		
PD	meds_1140865800	1.626517468	0.328095894	7.14E-07	2087	8348	0.004367246	0.013317892	0.002515573	1140865800	lactulose product	meds_1140865800	0.000117139	Constipation		0		
PD	meds_1140868170	1.941416945	0.587975175	0.000960429	2087	8348	0.001488834	0.004053272	0.000958313	1140868170	prochlorperazine	meds_1140868170	0.049418051	D2 blocker		1		
PD	meds_1140872150	2.953271791	0.507815553	6.04E-09	2087	8348	0.003076923	0.015055009	0.000598946	1140872150	clonazepam	meds_1140872150	1.87E-06	Benzodiazepines		1		
PD	meds_1140872198	2.202088742	0.57622195	0.00013259	2087	8348	0.001588089	0.005790388	0.000718735	1140872198	sodium valproate	meds_1140872198	0.010266247	Epilepsy		0		
PD	meds_1140872200	2.002035757	0.499669639	6.16E-05	2087	8348	0.002183623	0.006948466	0.001197892	1140872200	epilim 100mg crushable tablet	meds_1140872200	0.005420583	Epilepsy		0		
PD	meds_1140872228	1.328740748	0.271607284	9.97E-07	2087	8348	0.007047146	0.016213086	0.005150934	1140872228	gabapentin	meds_1140872228	0.00015741	Epilepsy/Pain		0		
PD	meds_1140872290	1.880571736	0.543894094	0.000544997	2087	8348	0.001687345	0.004053272	0.001197892	1140872290	lamotrigine	meds_1140872290	0.034017565	Epilepsy		0		
PD	meds_1140879404	2.380049137	0.669806008	0.000380371	2087	8348	0.001389578	0.006369427	0.000359368	1140879404	docusate sodium	meds_1140879404	0.024854873	Constipation		0		
PD	meds_1140879430	3.275061554	0.34828101	5.28E-21	2087	8348	0.006352357	0.030110017	0.00143747	1140879430	domperidone	meds_1140879430	7.36E-18	D2 blocker		0		
PD	meds_1140879616	1.087926588	0.148265844	2.17E-13	2087	8348	0.024516129	0.049797336	0.019286057	1140879616	amitriptyline	meds_1140879616	1.51E-10	TCA		3	"CYP2D6,CYP2C19"	
PD	meds_1140879620	2.265280625	0.602628484	0.000170594	2087	8348	0.001389578	0.005211349	0.000598946	1140879620	clomipramine	meds_1140879620	0.012516188	TCA		3	"CYP2D6,CYP2C19"	
PD	meds_1140879644	5.675108563	1.01393551	2.18E-08	2087	8348	0.006550868	0.037637522	0.000119789	1140879644	amantadine	meds_1140879644	5.52E-06	PD drug	1	2		
PD	meds_1140879668	5.945085396	1.011606841	4.18E-09	2087	8348	0.007344913	0.042269832	0.000119789	1140879668	selegiline	meds_1140879668	1.34E-06	PD drug	1	0		
PD	meds_1140879842	1.685337408	0.227367603	1.24E-13	2087	8348	0.009627792	0.026056746	0.006229037	1140879842	propranolol	meds_1140879842	1.04E-10	Beta blocker		0		
PD	meds_1140883476	3.588558953	0.738999682	1.20E-06	2087	8348	0.001290323	0.005790388	0.000359368	1140883476	procyclidine	meds_1140883476	0.000185557	PD drug	1	3		"CYP2D6,CHRM1,CHRM2,CHRM3"
PD	meds_1140883568	2.169658152	0.385330252	1.80E-08	2087	8348	0.00337469	0.013896931	0.001197892	1140883568	oxybutynin	meds_1140883568	4.84E-06	Overactive bladder		3		"CYP3A4,CYP3A5"
PD	meds_1140884672	3.195317412	0.717318896	8.41E-06	2087	8348	0.001389578	0.006369427	0.000359368	1140884672	fludrocortisone	meds_1140884672	0.000971128	Steroid		0		
PD	meds_1140909806	1.108355531	0.329650094	0.00077319	2087	8348	0.00426799	0.010422698	0.002994729	1140909806	dosulepin(amitriptyline equivalent)	meds_1140909806	0.043695691	TCA		3	"CYP2D6,CYP2C19"	
PD	meds_1140910766	1.148942437	0.315625149	0.000272414	2087	8348	0.004565757	0.013317892	0.002755151	1140910766	nicorandil(K channel blocker)	meds_1140910766	0.018830317	CVD		0		
PD	meds_1140916282	1.216331438	0.368824579	0.000974251	2087	8348	0.003573201	0.008106543	0.002635362	1140916282	venlafaxine	meds_1140916282	0.049686782	SNRI		1		
PD	meds_1140921600	1.103611315	0.175113062	2.93E-10	2087	8348	0.019354839	0.034163289	0.016291327	1140921600	citalopram	meds_1140921600	1.29E-07	SSRI		0		
PD	meds_1140923346	0.501224404	0.143566324	0.000480785	2087	8348	0.028287841	0.046323104	0.02455678	1140923346	co-codamol(paracetamol and codeine)	meds_1140923346	0.030696854	Pain		1	CYP2D6	
PD	meds_1140925800	1.803491321	0.24886334	4.26E-13	2087	8348	0.007940447	0.025477707	0.00431241	1140925800	movicol oral powder	meds_1140925800	2.74E-10	Constipation		0		
PD	meds_1141152732	1.40327471	0.331631461	2.32E-05	2087	8348	0.004565757	0.012159815	0.002994729	1141152732	mirtazapine	meds_1141152732	0.002427778	TeCA		0		
PD	meds_1141152848	1.927810394	0.560870629	0.000587816	2087	8348	0.001488834	0.004053272	0.000958313	1141152848	quetiapine	meds_1141152848	0.035886817	AAP		3	MC4R	
PD	meds_1141157132	2.670100879	0.767849948	0.000506352	2087	8348	0.000992556	0.003474233	0.000479157	1141157132	singulair 10mg tablet	meds_1141157132	0.032084327	Asthma		0		
